file,label,label_id,nut_id
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02091.jpg,quality_nuts,0,210
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02092.jpg,quality_nuts,0,210
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02093.jpg,quality_nuts,0,210
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02094.jpg,quality_nuts,0,210
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02095.jpg,quality_nuts,0,210
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02096.jpg,quality_nuts,0,210
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02097.jpg,quality_nuts,0,210
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02098.jpg,quality_nuts,0,210
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02099.jpg,quality_nuts,0,210
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02100.jpg,quality_nuts,0,210
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_00961.jpg,quality_nuts,0,97
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_00962.jpg,quality_nuts,0,97
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_00963.jpg,quality_nuts,0,97
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_00964.jpg,quality_nuts,0,97
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_00965.jpg,quality_nuts,0,97
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_00966.jpg,quality_nuts,0,97
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_00967.jpg,quality_nuts,0,97
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_00968.jpg,quality_nuts,0,97
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_00969.jpg,quality_nuts,0,97
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_00970.jpg,quality_nuts,0,97
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02401.jpg,quality_nuts,0,241
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02402.jpg,quality_nuts,0,241
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02403.jpg,quality_nuts,0,241
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02404.jpg,quality_nuts,0,241
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02405.jpg,quality_nuts,0,241
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02406.jpg,quality_nuts,0,241
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02407.jpg,quality_nuts,0,241
sample_data\raw_candidates\nuts\quality_nuts\quality_nuts_02408.jpg,quality_nuts,0,241
